Employee_Name,EmpID,Salary,Position,DOB,Sex,DateofHire,DateofTermination,Department,ManagerName,ManagerID,RecruitmentSource
"Adinolfi, Wilson  K",10026,62506,Production Technician I,1983-07-10,{M },2011-07-05,,Production,Michael Albert,22,LinkedIn
"Ait Sidi, Karthikeyan   ",10084,104437,Sr. DBA,1975-05-05,{M },2015-03-30,2016-06-16,IT/IS,Simon Roup,4,Indeed
"Akinkuolie, Sarah",10196,64955,Production Technician II,1988-09-19,{F},2011-07-05,2012-09-24,Production,Kissy Sullivan,20,LinkedIn
"Alagbe,Trina",10088,64991,Production Technician I,1988-09-27,{F},2008-01-07,,Production,Elijiah Gray,16,Indeed
"Anderson, Carol ",10069,50825,Production Technician I,1989-09-08,{F},2011-07-11,2016-09-06,Production,Webster Butler,39,Google Search
"Anderson, Linda  ",10002,57568,Production Technician I,1977-05-22,{F},2012-01-09,,Production,Amy Dunn,11,LinkedIn
"Andreola, Colby",10194,95660,Software Engineer,1979-05-24,{F},2014-11-10,,Software Engineering,Alex Sweetwater,10,LinkedIn
"Athwal, Sam",10062,59365,Production Technician I,1983-02-18,{M },2013-09-30,,Production,Ketsia Liebig,19,Employee Referral
"Bachiochi, Linda",10114,47837,Production Technician I,1970-02-11,{F},2009-07-06,,Production,Brannon Miller,12,Diversity Job Fair
"Bacong, Alejandro ",10250,50178,IT Support,1988-01-07,{M },2015-01-05,,IT/IS,Peter Monroe,7,Indeed
"Baczenski, Rachael  ",10252,54670,Production Technician I,1974-01-12,{F},2011-01-10,2017-01-12,Production,David Stanley,14,Diversity Job Fair
"Barbara, Thomas",10242,47211,Production Technician I,1974-02-21,{M },2012-04-02,2016-09-19,Production,Kissy Sullivan,20,Diversity Job Fair
"Barbossa, Hector",10012,92328,Data Analyst,1988-07-04,{M },2014-11-10,,IT/IS,Simon Roup,4,Diversity Job Fair
"Barone, Francesco  A",10265,58709,Production Technician I,1983-07-20,{M },2012-02-20,,Production,Kelley Spirea,18,Google Search
"Barton, Nader",10066,52505,Production Technician I,1977-07-15,{M },2012-09-24,2017-04-06,Production,Michael Albert,22,On-line Web application
"Bates, Norman",10061,57834,Production Technician I,1981-10-18,{M },2011-02-21,2017-08-04,Production,Kelley Spirea,18,Google Search
"Beak, Kimberly  ",10023,70131,Production Technician II,1966-04-17,{F},2016-07-21,,Production,Kelley Spirea,18,Employee Referral
"Beatrice, Courtney ",10055,59026,Production Technician I,1970-10-27,{F},2011-04-04,,Production,Elijiah Gray,16,Google Search
"Becker, Renee",10245,110000,Database Administrator,1986-04-04,{F},2014-07-07,2015-09-12,IT/IS,Simon Roup,4,Google Search
"Becker, Scott",10277,53250,Production Technician I,1979-04-06,{M },2013-07-08,,Production,Webster Butler,,LinkedIn
"Bernstein, Sean",10046,51044,Production Technician I,1970-12-22,{M },2012-04-02,,Production,Amy Dunn,11,Google Search
"Biden, Lowan  M",10226,64919,Production Technician I,1958-12-27,{F},2013-08-19,,Production,Ketsia Liebig,19,Indeed
"Billis, Helen",10003,62910,Production Technician I,1989-09-01,{F},2014-07-07,,Production,Brannon Miller,12,Indeed
"Blount, Dianna",10294,66441,Production Technician II,1990-09-21,{F},2011-04-04,,Production,Michael Albert,22,CareerBuilder
"Bondwell, Betsy",10267,57815,Production Technician II,1967-01-16,{F},2011-01-10,2014-04-04,Production,Elijiah Gray,16,Google Search
"Booth, Frank",10199,103613,Enterprise Architect,1964-07-30,{M },2014-02-17,2016-02-19,IT/IS,Simon Roup,4,LinkedIn
"Boutwell, Bonalyn",10081,106367,Sr. Accountant,1987-04-04,{F},2015-02-16,,Admin Offices,Brandon R. LeBlanc,3,Diversity Job Fair
"Bozzi, Charles",10175,74312,Production Manager,1970-03-10,{M },2013-09-30,2014-08-07,Production,Janet King,2,Indeed
"Brill, Donna",10177,53492,Production Technician I,1990-08-24,{F},2012-04-02,2013-06-15,Production,David Stanley,14,Google Search
"Brown, Mia",10238,63000,Accountant I,1987-11-24,{F},2008-10-27,,Admin Offices,Brandon R. LeBlanc,1,Diversity Job Fair
"Buccheri, Joseph  ",10184,65288,Production Technician II,1983-07-28,{M },2014-09-29,,Production,Webster Butler,,Google Search
"Bugali, Josephine ",10203,64375,Production Technician I,1969-10-30,{F},2013-11-11,,Production,Kissy Sullivan,20,Diversity Job Fair
"Bunbury, Jessica",10188,74326,Area Sales Manager,1964-06-01,{F},2011-08-15,2014-08-02,Sales,John Smith,17,Google Search
"Burke, Joelle",10107,63763,Production Technician II,1980-03-02,{F},2012-03-05,,Production,Amy Dunn,11,Employee Referral
"Burkett, Benjamin ",10181,62162,Production Technician II,1977-08-19,{M },2011-04-04,,Production,Ketsia Liebig,19,Indeed
"Cady, Max ",10150,77692,Software Engineering Manager,1966-11-22,{M },2011-08-15,,Software Engineering,Jennifer Zamora,5,Google Search
"Candie, Calvin",10001,72640,Production Manager,1983-08-09,{M },2016-01-28,,Production,Janet King,2,Indeed
"Carabbio, Judith",10085,93396,Software Engineer,1987-04-05,{F},2013-11-11,,Software Engineering,Alex Sweetwater,10,Indeed
"Carey, Michael  ",10115,52846,Production Technician I,1983-02-02,{M },2014-03-31,,Production,Kelley Spirea,18,LinkedIn
"Carr, Claudia  N",10082,100031,Sr. DBA,1986-06-06,{F},2016-06-30,,IT/IS,Simon Roup,4,LinkedIn
"Carter, Michelle ",10040,71860,Area Sales Manager,1963-05-15,{F},2014-08-18,,Sales,John Smith,17,Indeed
"Chace, Beatrice ",10067,61656,Production Technician I,1951-01-02,{F},2014-09-29,,Production,Michael Albert,22,Google Search
"Champaigne, Brian",10108,110929,BI Director,1972-02-09,{M },2016-09-06,,IT/IS,Jennifer Zamora,5,Indeed
"Chan, Lin",10210,54237,Production Technician I,1979-02-12,{F},2014-05-12,,Production,Elijiah Gray,16,Indeed
"Chang, Donovan  E",10154,60380,Production Technician I,1983-08-24,{M },2013-07-08,,Production,Webster Butler,,LinkedIn
"Chigurh, Anton",10200,66808,Area Sales Manager,1970-06-11,{M },2012-05-14,,Sales,Lynn Daneault,21,Employee Referral
"Chivukula, Enola",10240,64786,Production Technician I,1983-08-27,{F},2011-06-27,2015-11-15,Production,Amy Dunn,11,Indeed
"Cierpiszewski, Caroline  ",10168,64816,Production Technician I,1988-05-31,{F},2011-10-03,,Production,Ketsia Liebig,19,Indeed
"Clayton, Rick",10220,68678,IT Support,1985-09-05,{M },2012-09-05,,IT/IS,Eric Dougall,6,Indeed
"Cloninger, Jennifer",10275,64066,Production Technician II,1981-08-31,{F},2011-05-16,2013-01-07,Production,Brannon Miller,12,Google Search
"Close, Phil",10269,59369,Production Technician II,1978-11-25,{M },2010-08-30,2011-09-26,Production,David Stanley,14,Indeed
"Clukey, Elijian",10029,50373,Production Technician I,1980-08-26,{M },2016-07-06,,Production,Brannon Miller,12,Employee Referral
"Cockel, James",10261,63108,Production Technician I,1977-09-08,{M },2013-07-08,,Production,David Stanley,14,Employee Referral
"Cole, Spencer",10292,59144,Production Technician I,1979-08-12,{M },2011-07-11,2016-09-23,Production,Kissy Sullivan,20,LinkedIn
"Corleone, Michael",10282,68051,Production Manager,1975-12-17,{M },2010-07-20,,Production,Janet King,2,CareerBuilder
"Corleone, Vito",10019,170500,Director of Operations,1983-03-19,{M },2009-01-05,,Production,Janet King,2,Indeed
"Cornett, Lisa ",10094,63381,Production Technician I,1977-03-31,{F},2015-01-05,,Production,Kelley Spirea,18,Indeed
"Costello, Frank",10193,83552,Data Analyst,1986-08-26,{M },2015-03-30,,IT/IS,Simon Roup,4,Indeed
"Crimmings,   Jean",10132,56149,Production Technician I,1987-04-10,{F},2016-07-06,,Production,Michael Albert,22,LinkedIn
"Cross, Noah",10083,92329,Sr. Network Engineer,1965-09-09,{M },2014-11-10,,IT/IS,Peter Monroe,7,Employee Referral
"Daneault, Lynn",10099,65729,Sales Manager,1990-04-19,{F},2014-05-05,,Sales,Debra Houlihan,15,Indeed
"Daniele, Ann  ",10212,85028,Sr. Network Engineer,1952-01-18,{F},2014-11-10,,IT/IS,Peter Monroe,7,LinkedIn
"Darson, Jene'ya ",10056,57583,Production Technician I,1978-11-05,{F},2012-07-02,,Production,Elijiah Gray,16,Indeed
"Davis, Daniel",10143,56294,Production Technician II,1979-09-14,{M },2011-11-07,,Production,Kissy Sullivan,20,LinkedIn
"Dee, Randy",10311,56991,Production Technician I,1988-04-15,{M },2018-07-09,,Production,Brannon Miller,12,Indeed
"DeGweck,  James",10070,55722,Production Technician I,1977-10-31,{M },2011-05-16,2016-06-08,Production,Webster Butler,39,Indeed
"Del Bosque, Keyla",10155,101199,Software Engineer,1979-07-05,{F},2012-01-09,,Software Engineering,Alex Sweetwater,10,CareerBuilder
"Delarge, Alex",10306,61568,Area Sales Manager,1975-11-02,{M },2014-09-29,,Sales,John Smith,17,Indeed
